2023-01-04 05:52:28 status half-installed libsepol1:armhf 3.0-1
2023-01-04 05:52:28 status unpacked libsepol1:armhf 3.0-1
2023-01-04 05:52:28 install libsmartcols1:armhf <none> 2.34-0.1ubuntu9
2023-01-04 05:52:28 status half-installed libsmartcols1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:28 status unpacked libsmartcols1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:28 install libss2:armhf <none> 1.45.5-2ubuntu1
2023-01-04 05:52:28 status half-installed libss2:armhf 1.45.5-2ubuntu1
2023-01-04 05:52:28 status unpacked libss2:armhf 1.45.5-2ubuntu1
2023-01-04 05:52:28 install libsystemd0:armhf <none> 245.4-4ubuntu3
2023-01-04 05:52:28 status half-installed libsystemd0:armhf 245.4-4ubuntu3
2023-01-04 05:52:28 status unpacked libsystemd0:armhf 245.4-4ubuntu3
2023-01-04 05:52:28 install libtinfo6:armhf <none> 6.2-0ubuntu2
2023-01-04 05:52:28 status half-installed libtinfo6:armhf 6.2-0ubuntu2
2023-01-04 05:52:28 status unpacked libtinfo6:armhf 6.2-0ubuntu2
2023-01-04 05:52:28 install libudev1:armhf <none> 245.4-4ubuntu3
2023-01-04 05:52:28 status half-installed libudev1:armhf 245.4-4ubuntu3
2023-01-04 05:52:28 status unpacked libudev1:armhf 245.4-4ubuntu3
2023-01-04 05:52:29 install libuuid1:armhf <none> 2.34-0.1ubuntu9
2023-01-04 05:52:29 status half-installed libuuid1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:29 status unpacked libuuid1:armhf 2.34-0.1ubuntu9
2023-01-04 05:52:29 install libzstd1:armhf <none> 1.4.4+dfsg-3
2023-01-04 05:52:29 status half-installed libzstd1:armhf 1.4.4+dfsg-3
2023-01-04 05:52:29 status unpacked libzstd1:armhf 1.4.4+dfsg-3
2023-01-04 05:52:29 install login:armhf <none> 1:4.8.1-1ubuntu5
2023-01-04 05:52:29 status half-installed login:armhf 1:4.8.1-1ubuntu5
2023-01-04 05:52:29 status unpacked login:armhf 1:4.8.1-1ubuntu5
2023-01-04 05:52:29 install logsave:armhf <none> 1.45.5-2ubuntu1
2023-01-04 05:52:29 status half-installed logsave:armhf 1.45.5-2ubuntu1
2023-01-04 05:52:29 status unpacked logsave:armhf 1.45.5-2ubuntu1
2023-01-04 05:52:29 install lsb-base:all <none> 11.1.0ubuntu2
2023-01-04 05:52:29 status half-installed lsb-base:all 11.1.0ubuntu2
2023-01-04 05:52:29 status unpacked lsb-base:all 11.1.0ubuntu2
2023-01-04 05:52:30 upgrade mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2023-01-04 05:52:30 status half-configured mawk:armhf 1.3.4.20200120-2
2023-01-04 05:52:30 status unpacked mawk:armhf 1.3.4.20200120-2
2023-01-04 05:52:30 status half-installed mawk:armhf 1.3.4.20200120-2
2023-01-04 05:52:30 status unpacked mawk:armhf 1.3.4.20200120-2
